iters,fevals,fitness,time
0,2,105.0,0.0
1,4,105.0,0.0
2,6,105.0,0.0
3,8,105.0,0.0
4,10,105.0,0.0
5,12,105.0,0.0
6,14,105.0,0.0
7,16,105.0,0.0
8,18,105.0,0.0
9,20,104.0,0.0
10,22,104.0,0.0
11,24,104.0,0.0
12,26,104.0,0.0
13,28,104.0,0.0
14,30,104.0,0.0
15,32,104.0,0.0
16,34,104.0,0.0
17,36,104.0,0.0
18,38,104.0,0.0
19,40,104.0,0.0
20,42,104.0,0.0
21,44,104.0,0.0
22,46,104.0,0.0
23,48,104.0,0.0
24,50,104.0,0.0
25,52,104.0,0.0
26,55,106.0,0.0
27,57,106.0,0.0
28,59,106.0,0.0
29,61,106.0,0.0
30,63,106.0,0.0
31,65,106.0,0.0
32,67,106.0,0.0
33,69,106.0,0.0
34,71,106.0,0.0
35,73,106.0,0.0
36,75,106.0,0.0
37,77,106.0,0.0
38,79,106.0,0.0
39,81,111.0,0.0
40,83,111.0,0.0
41,85,111.0,0.0
42,87,111.0,0.0
43,89,111.0,0.0
44,91,111.0,0.0
45,93,111.0,0.0
46,95,111.0,0.0
47,97,111.0,0.0
48,100,108.0,0.0
49,102,108.0,0.0
50,104,108.0,0.0
51,106,108.0,0.0
52,108,108.0,0.0
53,110,108.0,0.0
54,112,108.0,0.0
55,114,111.0,0.0
56,116,111.0,0.0
57,118,111.0,0.0
58,121,108.0,0.0
59,123,108.0,0.0
60,126,105.0,0.0
61,128,105.0,0.0
62,130,105.0,0.0
63,132,105.0,0.0
64,134,105.0,0.0
65,136,105.0,0.0
66,138,105.0,0.0
67,140,105.0,0.0
68,142,105.0,0.0
69,144,105.0,0.0
70,146,105.0,0.0
71,148,105.0,0.0
72,150,105.0,0.0
73,152,105.0,0.0
74,155,107.0,0.0
75,157,107.0,0.0
76,159,107.0,0.0
77,161,107.0,0.0
78,163,107.0,0.0
79,165,107.0,0.0
80,167,107.0,0.0
81,169,107.0,0.0
82,171,107.0,0.0009999275207519531
83,173,107.0,0.0009999275207519531
84,175,107.0,0.0009999275207519531
85,177,107.0,0.0009999275207519531
86,179,107.0,0.0009999275207519531
87,181,107.0,0.0009999275207519531
88,183,107.0,0.0009999275207519531
89,185,107.0,0.0009999275207519531
90,187,105.0,0.0009999275207519531
91,189,106.0,0.0009999275207519531
92,191,106.0,0.0009999275207519531
93,193,106.0,0.0009999275207519531
94,195,106.0,0.0009999275207519531
95,197,106.0,0.0009999275207519531
96,199,106.0,0.0009999275207519531
97,201,106.0,0.0009999275207519531
98,203,106.0,0.0009999275207519531
99,205,106.0,0.0009999275207519531
100,207,106.0,0.0009999275207519531
101,209,106.0,0.0009999275207519531
102,211,106.0,0.0009999275207519531
103,213,106.0,0.0009999275207519531
104,215,106.0,0.0009999275207519531
105,217,106.0,0.0009999275207519531
106,219,106.0,0.0009999275207519531
107,221,106.0,0.0009999275207519531
108,223,106.0,0.0009999275207519531
109,225,106.0,0.0009999275207519531
110,227,106.0,0.0009999275207519531
111,229,106.0,0.0009999275207519531
112,231,106.0,0.0009999275207519531
113,233,106.0,0.0009999275207519531
114,235,106.0,0.0009999275207519531
115,237,106.0,0.0009999275207519531
116,240,107.0,0.0009999275207519531
117,242,107.0,0.0009999275207519531
118,244,107.0,0.0009999275207519531
119,246,107.0,0.0009999275207519531
120,248,107.0,0.0009999275207519531
121,250,107.0,0.0009999275207519531
122,252,107.0,0.0009999275207519531
123,254,107.0,0.0009999275207519531
124,256,107.0,0.0009999275207519531
125,258,107.0,0.0009999275207519531
126,260,107.0,0.0009999275207519531
127,262,107.0,0.0009999275207519531
128,264,107.0,0.0009999275207519531
129,266,107.0,0.0009999275207519531
130,268,107.0,0.0009999275207519531
131,270,107.0,0.0009999275207519531
132,272,107.0,0.0009999275207519531
133,274,107.0,0.0009999275207519531
134,276,107.0,0.0009999275207519531
135,278,107.0,0.0009999275207519531
136,280,107.0,0.0009999275207519531
137,282,107.0,0.0009999275207519531
138,284,107.0,0.0009999275207519531
139,286,108.0,0.0009999275207519531
140,288,108.0,0.0009999275207519531
141,290,108.0,0.0009999275207519531
142,292,108.0,0.0009999275207519531
143,294,108.0,0.0009999275207519531
144,296,108.0,0.0009999275207519531
145,298,108.0,0.0009999275207519531
146,300,108.0,0.0009999275207519531
147,302,108.0,0.0009999275207519531
148,304,108.0,0.0009999275207519531
149,306,108.0,0.0009999275207519531
150,308,108.0,0.0009999275207519531
151,310,108.0,0.0009999275207519531
152,312,108.0,0.0009999275207519531
153,314,108.0,0.0009999275207519531
154,316,108.0,0.0009999275207519531
155,318,108.0,0.0009999275207519531
156,320,108.0,0.0009999275207519531
157,322,108.0,0.0009999275207519531
158,324,108.0,0.0009999275207519531
159,326,108.0,0.0009999275207519531
160,328,108.0,0.0009999275207519531
161,330,108.0,0.0009999275207519531
162,332,108.0,0.0009999275207519531
163,334,108.0,0.0009999275207519531
164,336,108.0,0.0009999275207519531
165,338,108.0,0.0009999275207519531
166,341,110.0,0.0009999275207519531
167,343,110.0,0.0009999275207519531
168,345,110.0,0.0009999275207519531
169,347,110.0,0.0009999275207519531
170,349,110.0,0.0009999275207519531
171,351,110.0,0.0009999275207519531
172,353,110.0,0.0009999275207519531
173,355,110.0,0.0009999275207519531
174,357,110.0,0.0009999275207519531
175,359,110.0,0.0009999275207519531
176,361,110.0,0.0009999275207519531
177,363,110.0,0.0009999275207519531
178,365,110.0,0.0009999275207519531
179,367,110.0,0.0009999275207519531
180,369,110.0,0.0009999275207519531
181,371,110.0,0.0009999275207519531
182,373,110.0,0.0009999275207519531
183,375,110.0,0.0009999275207519531
184,377,110.0,0.0009999275207519531
185,379,110.0,0.0009999275207519531
186,381,110.0,0.0009999275207519531
187,383,110.0,0.0009999275207519531
188,385,110.0,0.0009999275207519531
189,387,110.0,0.0009999275207519531
190,389,110.0,0.0009999275207519531
191,391,110.0,0.0009999275207519531
192,393,111.0,0.0009999275207519531
193,395,111.0,0.0009999275207519531
194,397,111.0,0.0009999275207519531
195,400,116.0,0.0009999275207519531
196,402,116.0,0.0009999275207519531
197,404,116.0,0.0009999275207519531
198,406,116.0,0.0009999275207519531
199,408,116.0,0.0009999275207519531
200,410,116.0,0.0009999275207519531
201,412,116.0,0.0009999275207519531
202,414,116.0,0.0009999275207519531
203,416,116.0,0.0009999275207519531
204,418,116.0,0.0009999275207519531
205,420,116.0,0.0009999275207519531
206,422,116.0,0.0009999275207519531
207,424,116.0,0.0009999275207519531
208,426,116.0,0.0009999275207519531
209,428,116.0,0.0009999275207519531
210,430,116.0,0.0009999275207519531
211,432,116.0,0.0009999275207519531
212,434,116.0,0.0009999275207519531
213,436,116.0,0.0009999275207519531
214,438,116.0,0.0009999275207519531
215,440,116.0,0.0009999275207519531
216,442,116.0,0.0009999275207519531
217,444,116.0,0.0009999275207519531
218,446,116.0,0.0009999275207519531
219,448,116.0,0.0009999275207519531
220,450,116.0,0.0009999275207519531
221,452,116.0,0.0009999275207519531
222,454,116.0,0.0009999275207519531
223,456,116.0,0.0009999275207519531
224,458,116.0,0.0009999275207519531
225,460,116.0,0.0009999275207519531
226,462,116.0,0.0009999275207519531
227,464,116.0,0.0009999275207519531
228,466,116.0,0.0009999275207519531
229,468,116.0,0.0009999275207519531
230,470,116.0,0.0009999275207519531
231,472,116.0,0.0009999275207519531
232,474,116.0,0.0009999275207519531
233,476,116.0,0.0009999275207519531
234,478,116.0,0.0009999275207519531
235,480,116.0,0.0009999275207519531
236,482,116.0,0.0009999275207519531
237,484,116.0,0.0009999275207519531
238,486,116.0,0.0009999275207519531
239,488,116.0,0.0009999275207519531
240,490,116.0,0.0009999275207519531
241,492,116.0,0.0009999275207519531
242,494,116.0,0.0009999275207519531
243,496,116.0,0.0009999275207519531
244,498,116.0,0.0009999275207519531
245,500,116.0,0.0009999275207519531
246,501,116.0,0.0009999275207519531
247,502,116.0,0.0009999275207519531
248,503,116.0,0.0009999275207519531
249,504,116.0,0.0009999275207519531
250,505,116.0,0.0009999275207519531
251,506,116.0,0.0009999275207519531
252,507,116.0,0.0009999275207519531
253,508,116.0,0.0009999275207519531
254,509,116.0,0.0009999275207519531
255,510,116.0,0.0009999275207519531
256,511,116.0,0.0009999275207519531
257,512,116.0,0.0009999275207519531
258,513,116.0,0.0009999275207519531
259,514,116.0,0.0009999275207519531
260,515,116.0,0.0009999275207519531
261,516,116.0,0.0009999275207519531
262,517,116.0,0.0009999275207519531
263,518,116.0,0.0009999275207519531
264,519,116.0,0.0009999275207519531
265,520,116.0,0.0009999275207519531
266,521,116.0,0.0009999275207519531
267,522,116.0,0.0009999275207519531
268,523,116.0,0.0009999275207519531
269,524,116.0,0.0009999275207519531
270,525,116.0,0.0009999275207519531
271,526,117.0,0.0009999275207519531
272,527,117.0,0.0009999275207519531
273,528,117.0,0.0009999275207519531
274,529,117.0,0.0009999275207519531
275,530,117.0,0.0009999275207519531
276,531,117.0,0.0009999275207519531
277,532,117.0,0.0009999275207519531
278,533,117.0,0.0009999275207519531
279,534,117.0,0.0009999275207519531
280,535,117.0,0.0009999275207519531
281,536,117.0,0.0009999275207519531
282,537,117.0,0.0009999275207519531
283,538,117.0,0.0009999275207519531
284,539,117.0,0.0009999275207519531
285,540,117.0,0.0009999275207519531
286,541,117.0,0.0009999275207519531
287,542,117.0,0.0009999275207519531
